#Path	Size (est.)
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN04599205.fa	11818301.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN03776961.fa	12275470.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN03300358.fa	13729848.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN03300596.fa	13745981.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN03300592.fa	13817322.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN03300357.fa	13594153.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN05202163.fa	11296624.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN05276424.fa	12031794.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN03300623.fa	11509790.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN05276419.fa	11771112.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN05187972.fa	10560085.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN03300590.fa	10546697.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN03300750.fa	10040569.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN03300662.fa	10084774.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN03300736.fa	10002618.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN04633278.fa	10649357.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN05276456.fa	9825814.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN05276326.fa	10501619.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN03300836.fa	9741237.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN05276350.fa	9875263.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08/SAMN03300605.fa	9597487.00000000
